place_id,name,description,is_spending_on_ads,reviews,competitors,website,can_claim,emails,phones,linkedin,twitter,facebook,youtube,instagram,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_8E2s2f1aS4RSraUoOQTRZU,Le Petit Chef - Jakarta,,TRUE,29,"Name: S*c*******se Gr*** *nd*nes*a
Link: h**p**/*w***g***le.com*maps/***r*h*S*c*a***o*se+***nd****one*ia/**6*1******,10*.82****4?a**h*se**0*h*=*d&**try=t**
Reviews: 3708 reviews

Name: *i***ng
Link: **t****/w****oogl**c*m/m***/***r*h**i*F**g***6*1*5**8**106.823*421**ut**s*r=0*hl=*d*en**y*tt*
Reviews: 916 reviews

Name: *****t*** a*d S*afoo*
Link: **t***//www***o*****om/***s/s****h/***2*8*%99*+*te**+a**+S**f*od*@*6*1**5*1****6.8*19*98?*u***ser*0&*l=id**n***=tt*
Reviews: 174 reviews

Name: 1****Re***ura*t
Link: h**ps:*/w*w*g***l****m**a**/s***c**19*8*R***au**nt*@-6.1****6**1**.8*8**09**999*9*aut**se*=0&**=id&**tr*=t**
Reviews: 120 reviews

Name: KI*A*****esta**a*t
Link: **tp*:/*ww***oog*e*c*m***ps*se**ch/K*TA*%E*%**%*C**5%A**9A+**s**u****/**6.18477***9999**9*1**.*304***9*9***9*a****ser=0&******e**ry**t*
Reviews: 60 reviews",**tp*://ww*.lep****c****c*m*gr*nd***a*t-j**a**a-l***,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,L* Pe*it***** - Jak******Pem***k*,*ttp****www******e.c*****ps/c**trib/***8*3*6*919*588***5*,ht*p*:*****.*o*gleuse**o**e*t*****p/A****pO******9*orJ9*L-**E****y*xg3*p****ekt5*w***-*272-k-no,Restoran,Restoran,3.8,1****-2*.*0,O*en**** *ay*,*021* 2***13**,"Grand Hyatt Jakarta Jl. M.H. Thamrin No.Kav. 28-30, Gondangdia, Kec. Menteng Kota Jakarta Pusat, Daerah Khusus Ibukota, RT.9/RW.5, Gondangdia, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10350","pen*a**m**, ku**u*, ua**",https://www.google.com/maps/place/Le+Petit+Chef+-+Jakarta/data=!4m7!3m6!1s0x2e69f567b336c1ff:0x954513e4a094b64a!8m2!3d-6.1929989!4d106.8222671!16s%2Fg%2F11jjj89vdz!19sChIJ_8E2s2f1aS4RSraUoOQTRZU?authuser=0&hl=id&rclk=1
ChIJTwTtG9P1aS4RTBuC8A4MTBA,Paulaner Brauhaus,Re***r** Je***n**i***l *r**d I**o***ia den*** **es**lis*****i** T*r***ia ***anan h*la*.,FALSE,6800,"Name: *o***l*H**s**G*and I***ne*ia
Link: *t*p***/***.*oo**e.c*m*maps/***r***Soci*l****s*+Gran*****o*e*i*/@-6.****077,*0*.82******a**huser*0****id***t*y=tt*
Reviews: 3708 reviews

Name: *ie ***b*
Link: **t*s****w**g*ogle.*o**m*p*/s*ar***D**+S*u**/*-6**5**9**,106.***772***uthus**=0***=*d&e*t*y**t*
Reviews: 2082 reviews

Name: Clo*d*Lou*ge******t* *R**f**p)
Link: ***ps:**ww***o*****com*m***/*****h/C*oud**o*nge+*a*a*ta+%28*o*f****29/@-***9278**9*99**9**1*6.82**7*****9*99?*u*hus**=0****id&e*****t*u
Reviews: 1019 reviews

Name: B*s*****a**n & *a***laz* I**o*esi*
Link: h**p***/**w*google.*o**map*/*ea*****i****+*a**n+**6**a*+*l*za+In*on*s*a/*-*.1*247*,1*6.8*2***1*a*th*s**=*&*******n*r**tt*
Reviews: 499 reviews",h**p*:****w**em**ns**.co*/e****t***indo*e****rest****nts*b****p*u****r-brae**a*s**t****di*m=o*gani**utm**o**ce*goo**e*u*****m***gn=**J*T1&u*m_******t=g**-r*stau*a*t&so*r*e*S30*9***48,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Pa*lan*r ***u*a*s ****i**k*,**t**:*/**w*****le*com*m*ps**ontr***1**0615*7*68457*****9,*ttps://l*5.*******ser**nten**co**p**F1Qi*****Ex*****6A*l*v_RE7*wZ****b*n*****4*=**26**240-k***,Restoran Jerman,"Restoran Jerman, Brewpub",4.6,1**3***0.*0,**en***l**ays,(*21)*23***8**,"Jl. MH Thamrin No.1, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","b*n*, ***kel, h***l, **o***g a*ea, p*r****lly, *mb*e**, m*l*, *em*u*ta**b**, *i* **ng*a, ly*h**",https://www.google.com/maps/place/Paulaner+Br%C3%A4uhaus/data=!4m7!3m6!1s0x2e69f5d31bed044f:0x104c0c0ef0821b4c!8m2!3d-6.1964302!4d106.8225851!16s%2Fg%2F1tq_yygq!19sChIJTwTtG9P1aS4RTBuC8A4MTBA?authuser=0&hl=id&rclk=1
ChIJR2I0yCX0aS4RnsVGtM67WiI,Seribu Rasa Menteng,,FALSE,5746,"Name: P*a***a**M*nte*g
Link: *t**s:**w**.*o*gle*com*m*p*****r*h/**at*ran***n*e**/*-6.1***014*9*999*9***6.**85812*a**hus****&***i*&en****t*u
Reviews: 4986 reviews

Name: *aum**ak**t*
Link: htt*s***w*w.**o*l*.*o*/*a*s*se*r*****um*J*k**ta***6*1**9565***9*9995,10*.8*4*****aut*u*er=*&**=id***t*****u
Reviews: 4391 reviews

Name: L**a*Djo**g*a**
Link: **t*s:***w***oog*e.c*m/*a*s*searc***a**+**on*g****/@*6*1***6*5*1*6.8363661********r**&h*=*d**n*r*=t*u
Reviews: 3890 reviews

Name: Mad*m******ma
Link: ht**s*/*w*w****g*******m*ps/*ear****a***e+De*i**/@-6.*88***400*******1*6.8**1*43?au****e*=0**l=i*&ent*y*t*u
Reviews: 780 reviews

Name: C*b**R**p***RES*O
Link: ht*p***/*ww.g*****.**m/m**s/se***h**abe*Re**a***E*T**@-6.1*7**03,1*6.**6***1****9**?a*t***er=0*hl*id****ry*tt*
Reviews: 471 reviews",htt*s*/**re**c**p***m/***i*u-**sa,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,***ib**Ra***Men**n* *Pem**ik*,htt****/w**.*oog*e.c*m*m*ps/*o*t*i***0*74*8***80*****1*3*,htt**:*/l***g****eu***c**te**.c*m/p*A*1***N*Q**n9**b*vd9*A**oqU*t***A_0j**E*D**i*w*08-*2*5***no,Restoran Indonesia,"Restoran Indonesia, Restoran Asia, Restoran Seafood, Restoran Asia Tenggara",4.6,1*.***22.**,Open*A** ****,***1* 3*2*8*2,"Jl. H. Agus Salim No.128, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","k*l*a*g*, d***er, **et**g, atm***h*r*, i***r*or, s**fo**, b**e*e*t, v***t, fi** d***n*, **a*g",https://www.google.com/maps/place/Seribu+Rasa+Menteng/data=!4m7!3m6!1s0x2e69f425c8346247:0x225abbceb446c59e!8m2!3d-6.1955014!4d106.8250395!16s%2Fg%2F1pv2gx5h9!19sChIJR2I0yCX0aS4RnsVGtM67WiI?authuser=0&hl=id&rclk=1
ChIJ91EGWSP0aS4R2FsHVktCgwk,Plataran Menteng,"*la***an M*n**** is***e**l**e to**ee an***e*s*e***o**J*k*rta*s mo***d***ern*ng**in*r*, as*w*l**a* * m*st-v**it**o* to***s****t*yi***i* *** o* the*ma** *u********* f*v*-st***ho**ls",FALSE,4988,"Name: Ser*bu***s****nte**
Link: *tt***//w***g*o*l*.****ma*s/s*arc*****ib*+R*s*+M*nteng****.*955*1*99*****9*,*06.82*0*949*99**9**u**u*er**&*******ntr*=t**
Reviews: 5745 reviews

Name: K*um J*****a
Link: h***s:*/www*go*******m/m**s/s*a***/*aum**a**rta/@-*.*9****5**99*9**5,10*.*2*2368*aut**se*=*******&****y*t*u
Reviews: 4391 reviews

Name: **ra*D***ggr**g
Link: *tt**://www.g*ogl*.*om/maps/s*a******r*+**o*g*ra*g*****1**1*35,****8*6**6***uthu*er=0*hl**********t**
Reviews: 3890 reviews

Name: ****ara*pa*
Link: ***p*:/*w*w***ogle****/m*ps**ea*ch/Bu***ra*p*****6*198506*,**6**373*26?*****s*r***h***d&e*tr**t*u
Reviews: 1335 reviews

Name: M**ame***li**
Link: http**/**w*.*o*g*e*c**/ma**/s**r**/M***m***e**m*/@*6.***249**0****0**10***361**3?*u*h**e*=0&***id*en*ry=t*u
Reviews: 780 reviews",****s:/*ww*.pl****a*.***/p*a***a*-m*n*eng,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*l*taran ***t*****Pe*il*k*,*****:**ww****og***com/m*p**c*nt**b/109**772**349*9***4*8,**t*s://***.g*o*l*u**rc**te****o**p***1*****b*eh*c*Jee**jdm3G***SKO**mjY*4wP**wF=**08*h*5*-k***,Restoran Indonesia,"Restoran Indonesia, Restoran",4.7,**.00***.*0,***n A****ays,****) 2*62*77*,"Jl. HOS. Cokroaminoto No.42 6, RT.6/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","d*n**r, **et**g, f**e *i*i**, *t*os*h*r*, v*l**, t***r*a*in, pe*a**a*, k*lo**a*, or****n, *r**te*tu*",https://www.google.com/maps/place/Plataran+Menteng/data=!4m7!3m6!1s0x2e69f423590651f7:0x983424b56075bd8!8m2!3d-6.1919015!4d106.8285812!16s%2Fg%2F11c5sw4rnx!19sChIJ91EGWSP0aS4R2FsHVktCgwk?authuser=0&hl=id&rclk=1
ChIJterFy7TxaS4RbX70gbpPSAE,Hutan Kota by Plataran,"*u*an Kota *a* ****t int*o**ce* ** **e**ubl*c d*ri****h***0*8*A***n G*mes, *u***g****c* *he *enue *as*use**** *ost***n* ce**moni*s, *ve*** *** **t***ing*****r****t*is pe***d**th* Pre*id****o* *he**ep*b**c *f *n***es********lf, Bap*k**oko Wido*o* h*st*d *is g***ts at**h**site**Upon *ucc*s*f***c****e*ion*** **e*even*,*t*e*B*ng*Karno ***or***omp**x*M*na***e*t *en**r *PPKG*K****vi*ed*Plat*ran ** p**tic*pa*e i**a sel**ti*******e*s*t**de**lop ***a* *ot* ****** **n** tha**c*u*d ****c*s* *nd***s**'s cu***n** *u*t*re***d *atu*a****r*t**e* **a**r*******pt*d*the *hal**n**,*******i*g**n a*ri*o**us a*****a*i************* **r**t *o***t*t*o**w*th*v***ou* ****r ***tende** f******don*sia*s b***re***a****F*B **oups*a*d***d****b* * panel*o* *xp**t**",FALSE,4921,"Name: *a** *j*n***ang
Link: *t**s:/*w**.g****e.c***ma*s*se*rc*/**ra*Dj***g*ang/*****94***5**06*83636**?**t******0**l=id*entry***u
Reviews: 3890 reviews

Name: Blue***s**n*
Link: ht*p*:*/***.g*og**.c**/*a**/s*arch/Blu*+J*s****/*-*.2*0*6**,106.**9*1**9**999****th*s*r*****=id*e**r*****
Reviews: 1431 reviews

Name: C*o***Loun*****kart* *R*o*to**
Link: *t**s://*w****o*le******aps*search*****d**o***e*Ja****a+%*8R**fto*%*9/@*6.*927****999*9**,*06.****71***99*99***t*u*e*=0*h*=***e*try=**u
Reviews: 1019 reviews

Name: PA.***L* ******rant
Link: *****://ww*.g****e***m**aps/s**rch/*A***.*A**e**aur****@-**22***65**0**80**798?aut*us***0**l=***e*t**=ttu
Reviews: 896 reviews

Name: *mu* **u*me*
Link: ***p*:*/*w**go**le.co*/*a**/se***h/**u******m*t/@******92****06.***62*40**000***u*huse*=0&*l=i**e*try=t**
Reviews: 442 reviews",ht*ps***www*p*a***an.co*****a**kot*-*la**r**,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Hu*****o*a *y *latar*n***e**l**),****s*//ww**go*gle.com/m*ps***n****/1*37*****812******59*,*t*******h**g*o***u**rc*nte*t*com/p/AF1*i***v9*qZ***2w*o7l***iVm*jtf*A*1****t*9N****8-*2**-k-**,Tempat Acara,"Tempat Acara, Restoran Mewah, Lounge",4.7,*7.**-2**0*,*p*n***l**ays,(0****2*5311**,"Jl. Jenderal Sudirman No.54-55, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","d*n*e*, *ak*n*n*i**on***a, f*t*, ma****sia**, f*n**din***, G**, *e*de**, so**bun***, ny*m**, *e****ar**ang*t",https://www.google.com/maps/place/Hutan+Kota+by+Plataran/data=!4m7!3m6!1s0x2e69f1b4cbc5eab5:0x1484fba81f47e6d!8m2!3d-6.2223165!4d106.8065261!16s%2Fg%2F11j7yfpv3z!19sChIJterFy7TxaS4RbX70gbpPSAE?authuser=0&hl=id&rclk=1
ChIJTWtJeiH0aS4RY6h3u6ESq9Q,Sana Sini Restaurant,*e*****m***n*b*r*onsep pr***anan **ng*me**a*i*** m**u*Er*pa*****As*** **rta *o*e**i **** ***i V*note*a*,FALSE,4641,"Name: *a**o
Link: *t*******w*.g*o*le*c*m*map**s*a*ch/S*too/***.*0**4*1,*0**81***4*999*99****t**se**0&*l=*d**n*r*=t*u
Reviews: 3576 reviews

Name: *e****al **s*e**at**h**W***in Ja*art*
Link: *tt*s*/***w.goo**e.com/*ap**s***ch/**a**n*l+T******a***he+**st**+****rt*/@-******068*9*9*9*9*1*6.83*716****9*9**a*th***r*0**l=*d&*ntr***tu
Reviews: 1769 reviews

Name: *ig*a*******es*a*rant
Link: htt*s*//***.goo***.*om*ma*s/***r****igna***e********ra*****6*1***6*7,*0*.8*195**9*9*9*9?au*hu*e*=0**l*id&**tr*=*tu
Reviews: 770 reviews

Name: C***a*on
Link: *tt***//*w*****g**.**m/m*p*/**ar***C*nn*mo*/@-**19******10***235**1?aut*use***&hl**d&*nt*y**tu
Reviews: 252 reviews

Name: *es**ra**F*es**
Link: h*tps:*********g**.com/**ps*s*ar*h***s*oran+**e*****-6*****9**,1**.8**819899*999*?a*t***er**&**=id&*nt*y***u
Reviews: 79 reviews",htt**/*w****u***a****ar*a***onesi***om*r*s**u*a**s-a*d-ba*s**a*a-*i*i/,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,**n* *i***Re*ta*ran***P*mil**),*t*p*:/**w**go*g*e.c**/ma****on**i*/*1**6**1*4738**8**14*,h**ps**/****goo*leu***c*nt**t**om*p/AF1*i*O*p***g*****IB5***W***MB**3**t*T*8*g**=*4*8-*240-k-n*,Restoran Prasmanan,"Restoran Prasmanan, Restoran China, Restoran Indonesia, Restoran Jepang, Restoran Masakan Barat",4.8,***00-*2.**,***n Al**Da**,***1) 3*06***,"Pullman Jakarta Indonesia (Lobby Level, Jl. M.H. Thamrin No.59, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","*a*a**n*i**on**ia, *a*e, *as***i, bru***, **m**um, we**ern****d, **ka* be****a, *ob***r, *e*a*, buka*****a",https://www.google.com/maps/place/Sana+Sini+Restaurant/data=!4m7!3m6!1s0x2e69f4217a496b4d:0xd4ab12a1bb77a863!8m2!3d-6.1938085!4d106.8234035!16s%2Fg%2F1q62hchpg!19sChIJTWtJeiH0aS4RY6h3u6ESq9Q?authuser=0&hl=id&rclk=1
ChIJaYYdtBj0aS4R7aoVQjeIQps,Kaum Jakarta,*** f*ag**i**l*ca**** o****ta** **a* Fa**l*** Indo****a***in*n**co**e** Ka***an**home t***i**rse*an* *r*g*nal I*d*nesi*n*cul*u**l***o*ra*m***,FALSE,4392,"Name: Ser*b**Ra*a**e*t***
Link: ***p**//ww**g***l*.c*m*maps*se*rc*/Ser*b*+**s******e*g**-6**9*5*1**99*9*9*5,1****2**3*49*9*999?*uthu*e*=*&*l*id&***r*****
Reviews: 5745 reviews

Name: P*a*ar*n *en****
Link: *****:/**ww*g***le.c********sea***/Pl**a**n*M*n*eng**-*.191*01**99*9*99,***.**8*812*a*th*s*r=*&**=id&en***=*t*
Reviews: 4986 reviews

Name: H**** *ani*
Link: *t***:*/www**o*g*e.co*****s/se*rch/*arum***n******.*07*3*1**.**78*4**9999*9?a*****e***&hl***&en**y*t*u
Reviews: 1858 reviews

Name: M*ni*****tor*n
Link: *t***://*w*.go**le***m*m*p**s*a****M*ni*+****ora**@-**2*4*679**06*8**4446*000**1**u**u*er*0&*l=i*&****y**tu
Reviews: 1827 reviews

Name: **be *****h R**TO
Link: ***ps:*/*w**go*g*e****/*a**/**a*c*/C*b**Remp*h+**S*O/@*6.1**9*0*,1***83*448****9*99**ut*u*er=0*h**i**e*t**=**u
Reviews: 471 reviews",h*t*s**/www.**um**om***k**t**,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Kaum J**art* ***m*****,*t**s:/*www*g*o*le***m***ps/c***r**/*0876**000****4****74,*t**s*//l*5**********r*onte**.*o*/p*AF*Qip*A*z*vdm*R5*Y****la*2dA**Bf9*AUW*j*f***w*08***7***-*o,Restoran Indonesia,"Restoran Indonesia, Bar Minuman Koktail, Bar Dengan Pentas Musik",4.6,***00-**.*0,**e* All**a**,08****1*1-5*5*,"Jl. Dr. Kusuma Atmaja No.77, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","co**t*i*, ***o*phe*e, int*r***, ***a**n t*adis**n**, **bi*n*, an**u*, **** g*j*ot, ****ting*s**a, *ub*r *u*s**, *u*e*i",https://www.google.com/maps/place/Kaum+Jakarta/data=!4m7!3m6!1s0x2e69f418b41d8669:0x9b4288374215aaed!8m2!3d-6.1979566!4d106.8242368!16s%2Fg%2F11g88b9lww!19sChIJaYYdtBj0aS4R7aoVQjeIQps?authuser=0&hl=id&rclk=1
ChIJgwj8-An0aS4RY7gzwS8hLM8,Bluegrass Bar & Grill,**e***** *r*ll*restau**nt *** b*r *i*h *o*****coun*** **nce**,FALSE,4346,"Name: *o*w*
Link: h*t**:/*****g****e.*om/***s**ear**/**e*y**-6.*2***1*,1*6.*25753***99***?*u*hu***=*&h**id&e*t*y*ttu
Reviews: 2925 reviews

Name: W**li*m'* *****ual*D**i*g
Link: htt*s**/*ww*g****e******a*s/s*arch/W**li*m%2*s*-******l**ini*g/******0*174*99999*9,1**.8095**7*aut******0&hl*********=*tu
Reviews: 1543 reviews

Name: *Bo**yw*** -***d*an**es**u**** & Bar
Link: *t*****/ww*******e.com*ma****e*rch/DB*l*ywo***-**ndi**+Restaur****%*6+*a******22*1**4**0*.83**1**?**thu*er=0&*l=**&e**r*=***
Reviews: 380 reviews

Name: ***le* **d Ho**
Link: ***p*:*/*w***oog*e*c*m/**p*/*e*r***B*rley*A***H*p*/***.*18*2****9*99*9,1*6*83**9*60*0*0*2?a*t*us*r**&hl*i*&*n*r*=**u
Reviews: 0 reviews",*tt********t**ra**com*bl*egra*sj**art*,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,B*uegr*s* ****&*Gr*l*****m*l*k),*t**s:*/*ww****gle.c****aps**o*tr**/1*44**69**7***40***56,h*t*s***lh5***ogl***er**nte*t**om/p*****i***u*N**x*KtP**Itx*b*w*1*G*L*IzXI*Q**j_**4***h27*-**n*,Restoran Masakan Barat,"Restoran Masakan Barat, Bar",4.7,*1.00*2****,M***gu,(**1) 2**41***,"Bakrie Tower, Jl. H. R. Rasuna Said Lt. G, Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","*e*t*n*, *m*ie**, **t**ior, **nse*, s*n*a*, p****rib*, *a*d, ****ing, m*k** ***s*ma, st*****a**un*an",https://www.google.com/maps/place/Bluegrass+Bar+%26+Grill/data=!4m7!3m6!1s0x2e69f409f8fc0883:0xcf2c212fc133b863!8m2!3d-6.2193093!4d106.8344011!16s%2Fg%2F11g_r9y1q!19sChIJgwj8-An0aS4RY7gzwS8hLM8?authuser=0&hl=id&rclk=1
ChIJZ3XYYj70aS4RyDFzTQx4BFY,Lara Djonggrang,"T***a*t**nti**In*one*i** *uisi*e *f *A** **ON**R****h*s*been***sp*re**** t*e*r*ya**jour*ey* **r***h t***re*i*ns**ur****t*e***m***** *he**ing****a**Wu*u*,*w** *el****e rei*n o* *h***i***om****M**a*a**t ***t*e ****n**ng*o****e **th*ce***ry.

***a****n*gra**'s*m********n*** *i*h*the*m***i**l* *o*a*ti* a*mo*phe**,**e*h****y***es*nt t**r*mind th* *owad**s w*rld, *o**ring *a***** **f*,*a** to pride**ur*el*es *i*h*th**u*pa**l*el*d ****ty of a***e** In*o*e**a****isto**.",FALSE,3890,"Name: S**i*u R*s* *en****
Link: h****://*ww.*o*g*e**o*/*a**/s**rc*/*erib**R*s**M*nteng*@*6.1*550***999****5,1*6.8***3*4*99*999?*u**********l=*d&e********
Reviews: 5745 reviews

Name: P**tara***e*t**g
Link: **tps********o***e.c*m**ap*/sea*ch/Pla**ran+**nteng/@***19*9*****99*9*****6.8*8**1**a******r=*&hl=i*&en***=t**
Reviews: 4986 reviews

Name: *a** Ja*a*t*
Link: h**ps**/*ww**o**le***m**a*s**ea*ch*****+Ja****a/@-***97**6***99**99**10*.8*4*36***u*hu**r=0*hl*id&e*t*y*tt*
Reviews: 4391 reviews

Name: *arum**a***
Link: https*/*ww********.c****ap**search*H*r**+*an****-6.*0763*****81*884***999****u*hus*r*0*hl=****n***=t*u
Reviews: 1858 reviews

Name: Mad*m**De****
Link: h*t***/****.g**gle.*o**m*p*/*e**c*/Mada**+***i*a*@**.**8**9**0**00*1,*0*.*361**3?*ut*u**r****l=*d*e*t*y=ttu
Reviews: 780 reviews",h*tp:/*w*w.**g**o*****c*m**e*tau*a*t**j*ka***/lara**o**g**ng*,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,L*ra**j*****an* *P**ilik*,htt*s****w*.**o**e**o*/maps/co***ib***93****9852*1**14***,h******/lh*.go***eus*rc***e***com*p***1*ipN6*m1cq**p*w***C*J****U*t***fqDG*58*iC=**0*-*27**k*n*,Restoran Indonesia,"Restoran Indonesia, Restoran Sate",4.7,*1*00****00,Op*n***l ***s,**1*-*1**-*66,"Jl. Teuku Cik Ditiro No.4, RT.3/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","**t*ri*r, *ra***i*na*, a*mo****re, se***a*, **et**g, a***k, *a*u*g, bu*aya***d**e**a, *ine**i*i**, **r*j*an",https://www.google.com/maps/place/Lara+Djonggrang/data=!4m7!3m6!1s0x2e69f43e62d87567:0x5604780c4d7331c8!8m2!3d-6.1941635!4d106.8363661!16s%2Fg%2F1yh5tbbrt!19sChIJZ3XYYj70aS4RyDFzTQx4BFY?authuser=0&hl=id&rclk=1
